,student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skill_python,skill_excel,skill_sql,skill_soft,family_siblings,family_income_father,family_income_mother,device1_type1_laptop,device1_brand1_laptop,device1_year1_laptop,device2_type2_phone,device2_brand2_phone,device2_year2_phone,addr_city,addr_district,addr_postal
0,1,Claudia Short,20,Unknown,0,+998 19 379 41 52,Katieland,Null,2022-03-09 23:22:44,Data Science,0,Active,3.72,good,135,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","gun, nice",2.0,5.0,1.0,"with, onto",4.0,1198.0,1089.0,laptop,HP,2021.0,phone,Xiaomi,2021.0,Tashkent,South Kevin district,100539
1,2,Null,20,Female,90,Null,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,Data Science,0,Active,1.88,excellent,152,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,"against, good",,,,,,,,,,,,,,Tashkent,South Patricia,100332
2,3,Kathryn Moyer,20,Unknown,90,Null,Lake Stevenmouth,Null,2017-08-14 00:00:00,Data Science,0,Pending,0.0,excellent,185,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","fast, clearly",5.0,3.0,1.0,"despite, clearly",1.0,263.0,202.0,laptop,HP,2020.0,phone,Samsung,2023.0,Tashkent,,
3,4,Ruben Wilson,20,Female,81,Null,Port Pamelafort,Null,1973-09-17 00:00:00,Data Science,0,Inactive,0.0,good,175,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","left, role",3.0,5.0,1.0,"full, series",4.0,508.0,698.0,laptop,Lenovo,2020.0,phone,Samsung,2024.0,Tashkent,North Tamara district,100097
4,5,Robert Pruitt,20,Female,0,+998 82 659 56 31,Kingburgh,Null,2023-11-25 00:00:00,Data Science,0,Pending,4.37,average,282,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","sort, science",1.0,4.0,1.0,"whose, save",3.0,862.0,1058.0,laptop,Lenovo,2023.0,phone,Apple,2022.0,,,
5,6,David Martinez,20,Male,90,+998 74 828 60 16,Hugheshaven,nathangibbs@hotmail.com,2020-10-23 22:54:07,Data Science,110,Pending,15.5,average,85,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","order, keep",,,,,,,,,,,,,,Tashkent,North Jamesfurt district,100551
6,7,Null,18,Female,71,+998 14 018 09 28,Sharpfurt,nguyenlisa@horn.org,1982-01-16 00:00:00,Data Science,0,Active,0.0,excellent,275,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","fall, teacher",4.0,1.0,4.0,"teacher, good",3.0,1270.0,931.0,laptop,HP,2018.0,phone,Xiaomi,2023.0,Tashkent,,
7,8,Nicholas Dennis,21,Female,90,+998 09 155 60 11,Matthewfort,Null,2000-06-26 00:00:00,Python,63,Active,4.5,excellent,135,1978-09-23 00:00:00,"70576 Butler Harbor Suite 847, Janetberg",,,,,,,,,,,,,,,Janetberg,,70576
8,9,Null,20,Female,77,+998 54 964 54 23,South Paulchester,stacysmith@taylor.biz,2000-03-15 00:00:00,Null,110,Active,15.5,excellent,104,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","require, open",1.0,5.0,4.0,"partner, walk",0.0,850.0,1062.0,laptop,Dell,2019.0,phone,Apple,2020.0,Tashkent,,
9,10,Elizabeth Villegas,22,Female,0,+998 05 467 44 76,South Dianatown,anthonywalker@gmail.com,2013-02-11 07:12:29,Data Science,99,Inactive,3.7,average,215,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","management, to",1.0,1.0,4.0,"beat, southern",3.0,597.0,1150.0,laptop,Dell,2016.0,phone,Xiaomi,2023.0,,,
10,11,Shawn Baker,19,Unknown,0,+998 86 850 96 29,Zhangstad,Null,2025-06-10 00:00:00,Data Science,110,Active,3.7,excellent,183,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",,,,,,,,,,,,,,,Tashkent,North Samantha district,100659
11,12,Null,18,Female,71,Null,Austinside,annalee@gmail.com,2013-01-14 19:16:00,Null,110,Inactive,0.0,average,208,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","forward, like",,,,,,,,,,,,,,Tashkent,Morrismouth district,100315
12,13,Null,19,Female,90,+998 23 573 63 11,Lesliefurt,Null,2014-12-24 00:00:00,Data Science,110,Inactive,4.5,excellent,84,2010-11-21 00:00:00,"Frankchester 9-kv, dom 20, Tashkent",,,,,,,,,,,,,,,Tashkent,,
13,14,Thomas Prince,20,Unknown,0,Null,East Michellestad,aphillips@holland-diaz.org,2012-02-09 00:00:00,Python,114,Inactive,15.5,excellent,210,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,"understand, become",,,,,,,,,,,,,,Tashkent,Stevensborough,100394
14,15,Null,21,Male,73,Null,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,Python,110,Pending,3.7,good,191,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",,,,,,,,,,,,,,,Tashkent,,
15,16,Adrian Allen,20,Female,0,Null,Antoniobury,Null,1999-08-29 00:00:00,Python,110,Pending,3.7,excellent,53,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","partner, race",4.0,4.0,4.0,"onto, owner",3.0,798.0,626.0,laptop,Dell,2019.0,phone,Apple,2022.0,Timburgh,,
16,17,Stephen Lyons,19,Unknown,76,Null,New Adam,Null,2009-10-13 02:20:00,Data Science,110,Active,4.5,good,110,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"nothing, community",1.0,1.0,5.0,"wear, will",1.0,772.0,498.0,laptop,Lenovo,2023.0,phone,Apple,2021.0,Tashkent,Joehaven,100399
17,18,Zachary Lyons,18,Male,68,+998 42 552 57 22,Chenport,Null,2003-09-25 00:00:00,Data Science,110,Inactive,4.5,average,138,1997-08-27 00:00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",,,,,,,,,,,,,,,Tashkent,Port Kevin district,100106
18,19,Null,20,Female,50,+998 79 099 68 83,West Danaville,Null,1974-02-20 00:00:00,Data Science,110,Active,3.05,excellent,66,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,
19,20,Anthony Hardy,20,Male,90,+998 69 272 87 30,Kimport,Null,1973-05-20 19:05:00,Null,65,Pending,4.5,excellent,218,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","certainly, defense",5.0,2.0,4.0,"medical, quality",4.0,1220.0,1220.0,laptop,Lenovo,2018.0,phone,Apple,2019.0,Tashkent,,
20,21,Hector Beltran,20,Male,52,Null,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data Science,110,Active,15.5,good,153,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,
21,22,Tara Nguyen,22,Unknown,73,+998 38 874 29 99,Brittanychester,rrodriguez@newman.com,2000-06-04 17:46:54,Python,78,Inactive,4.5,excellent,174,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"create, accept",1.0,3.0,1.0,"new, manager",3.0,1140.0,1117.0,laptop,Dell,2016.0,phone,Xiaomi,2018.0,Tashkent,Lake Shaneland,100063
22,23,Jessica Robinson,22,Male,90,+998 69 715 09 37,Jonesfurt,Null,2010-05-10 12:48:00,Null,81,Inactive,3.7,good,261,2005-06-09 00:00:00,"0451 James Cliffs Suite 725, Wagnermouth","type, beautiful",,,,,,,,,,,,,,Wagnermouth,,
23,24,Latoya Williams,18,Male,60,Null,North Ashleyborough,Null,2021-08-06 11:33:00,Data Science,110,Pending,3.7,excellent,148,2021-12-11 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","step, section",1.0,5.0,3.0,"beat, popular",0.0,1376.0,871.0,laptop,Dell,2022.0,phone,Xiaomi,2019.0,Kevinfort,,
24,25,Null,21,Unknown,90,Null,Donnaview,urodriguez@ferrell.com,2025-03-08 00:00:00,Data Science,0,Pending,15.5,excellent,135,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","phone, consider",1.0,3.0,2.0,"must, around",0.0,1453.0,206.0,laptop,Lenovo,2019.0,phone,Xiaomi,2020.0,North Lisa,,06462
25,26,Null,21,Female,90,Null,Harrisbury,Null,2022-07-18 17:43:00,Null,96,Pending,15.5,good,299,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","tough, role",3.0,1.0,2.0,"south, his",1.0,623.0,577.0,laptop,Dell,2022.0,phone,Apple,2019.0,Tashkent,Lake Crystal district,100119
26,27,Emily Cummings,22,Female,59,Null,East Dariuston,Null,2023-04-28 18:06:01,Python,0,Inactive,1.18,average,245,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","billion, feeling",3.0,1.0,3.0,"thought, particularly",4.0,303.0,1245.0,laptop,Lenovo,2023.0,phone,Samsung,2023.0,Tashkent,South David district,100696
27,28,Brandy Powell,20,Unknown,87,+998 04 233 02 92,Oconnellburgh,benjamincollins@davis.info,2000-07-27 00:00:00,Python,107,Inactive,0.0,excellent,285,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","energy, however",2.0,1.0,3.0,"either, plan",4.0,1105.0,1106.0,laptop,Lenovo,2023.0,phone,Samsung,2022.0,,,
28,29,Null,21,Male,88,+998 21 168 10 29,West Rachel,elizabeth49@yahoo.com,2014-09-19 00:00:00,Null,0,Inactive,0.0,Null,295,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",,,,,,,,,,,,,,,Bridgetton,,
29,30,Jaime Rowe,0,Female,69,+998 46 892 95 98,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data Science,64,Pending,3.7,average,294,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50, Tashkent","woman, wear",4.0,5.0,3.0,"reduce, than",4.0,1291.0,913.0,laptop,Lenovo,2024.0,phone,Xiaomi,2019.0,Tashkent,,
30,31,Brianna Castro,21,Unknown,90,Null,East Regina,ali@gmail..com,2007-10-13 09:29:00,Data Science,110,Pending,0.0,average,63,1970-09-12 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,
31,32,April Johnson,20,Male,90,+998 54 829 35 87,Andersontown,daniel21@hotmail.com,2021-11-27 01:13:12,Python,110,Active,0.0,good,289,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","material, relate",5.0,3.0,3.0,"against, history",4.0,1124.0,1323.0,laptop,Dell,2023.0,phone,Apple,2018.0,Tashkent,Christineburgh district,100686
32,33,Joyce Franklin,20,Female,60,+998 18 090 58 16,South Brittany,Null,2000-06-29 21:16:26,Data Science,66,Inactive,15.5,excellent,57,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","run, case",4.0,2.0,3.0,"rock, never",4.0,1009.0,1369.0,laptop,Dell,2022.0,phone,Xiaomi,2020.0,Tashkent,,
33,34,Null,20,Female,0,Null,Hillmouth,ali@gmail..com,1983-05-24 00:00:00,Data Science,67,Active,3.7,excellent,172,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"decide, least",5.0,5.0,2.0,"mouth, laugh",4.0,763.0,1393.0,laptop,HP,2019.0,phone,Samsung,2020.0,Tashkent,West Michaelport,100883
34,35,Null,22,Female,0,+998 56 552 30 35,North Maryfort,Null,2008-01-25 20:03:00,Data Science,110,Pending,0.0,Null,136,1998-08-30 02:53:00,UZ 100652 Tashkent Lake Donaldton,,,,,,,,,,,,,,,Tashkent,Lake Donaldton,100652
35,36,Null,22,Unknown,87,+998 93 021 77 82,North Gerald,ali@gmail..com,2018-11-11 00:00:00,Python,110,Inactive,15.5,average,202,2024-12-18 00:00:00,"North Amy 11-kv, dom 49, Tashkent","stay, even",3.0,5.0,3.0,"generation, group",1.0,219.0,1344.0,laptop,Dell,2017.0,phone,Apple,2021.0,Tashkent,,
36,37,Jeremy Fry,18,Female,90,+998 73 180 25 62,New Kent,mccoyandrew@yahoo.com,2023-08-30 22:57:05,Data Science,110,Pending,4.5,average,157,1971-02-04 00:00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606","score, bar",,,,,,,,,,,,,,Tashkent,New Ian district,100606
37,38,Christopher Sosa,20,Male,90,+998 38 648 17 37,New Aliceland,Null,2022-08-12 00:00:00,Null,67,Active,0.0,excellent,242,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","art, learn",3.0,2.0,3.0,"write, alone",2.0,1354.0,448.0,laptop,Lenovo,2024.0,phone,Samsung,2020.0,Tashkent,Youngton district,100192
38,39,David Duke,20,Female,0,+998 26 677 69 49,Harrishaven,baguilar@hotmail.com,2004-09-26 00:00:00,Python,110,Active,0.0,excellent,159,2022-05-25 01:20:33,UZ 100766 Tashkent Port William,"challenge, trouble",,,,,,,,,,,,,,Tashkent,Port William,100766
39,40,Sara Page,20,Female,71,Null,West William,edgar27@phillips-martin.info,2022-03-26 05:45:17,Python,110,Inactive,0.0,Null,140,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","imagine, middle",3.0,4.0,4.0,"begin, movement",5.0,270.0,255.0,laptop,Lenovo,2020.0,phone,Apple,2021.0,Dicksonbury,,73317
40,41,Null,19,Male,0,Null,West Georgefort,Null,1975-12-17 00:00:00,Data Science,0,Active,15.5,average,225,2021-03-04 02:43:08,"4613 Robert Cliff Suite 875, South Leslie","particular, turn",1.0,4.0,2.0,"trip, toward",5.0,1364.0,1312.0,laptop,HP,2017.0,phone,Xiaomi,2019.0,South Leslie,,
41,42,Mark Smith,0,Male,90,Null,West Morganchester,Null,1980-12-09 00:00:00,Data Science,81,Inactive,0.0,excellent,255,1980-06-06 03:12:08,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",,,,,,,,,,,,,,,Tashkent,Port Kristopherberg district,100563
42,43,Amanda Myers,19,Female,90,+998 98 115 32 43,North Christopherborough,hoganandrew@hotmail.com,2021-06-24 12:05:49,Data Science,110,Pending,0.0,average,140,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"professional, necessary",5.0,4.0,2.0,"recent, tend",1.0,1134.0,1304.0,laptop,Dell,2018.0,phone,Apple,2021.0,Tashkent,North Joseph,100515
43,44,Eric George,18,Male,93,Null,Nathanborough,cynthia47@oneill.com,2022-03-17 10:25:13,Python,0,Inactive,0.0,good,205,2022-06-27 20:25:36,UZ 100297 Tashkent North Candace,"official, begin",,,,,,,,,,,,,,Tashkent,North Candace,100297
44,45,Null,20,Unknown,83,Null,Duncanfort,Null,2022-12-26 11:07:23,Data Science,110,Active,0.0,excellent,135,2022-11-21 00:00:00,"Annahaven 19-kv, dom 3, Tashkent","finish, true",4.0,2.0,2.0,"enter, response",5.0,778.0,355.0,laptop,Lenovo,2021.0,phone,Xiaomi,2022.0,Tashkent,,
45,46,Brandi Jones,20,Male,0,Null,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,Data Science,92,Inactive,15.5,Null,172,1975-05-22 00:00:00,"BROKEN,ADDRESS,DATA,,,","raise, let",1.0,5.0,2.0,"tell, compare",3.0,209.0,1191.0,laptop,Dell,2016.0,phone,Apple,2021.0,,,
46,47,John Robinson,19,Unknown,51,Null,Port Tracy,wallacerandy@bradshaw.com,2021-01-18 15:09:03,Null,0,Active,15.5,average,166,1994-04-25 00:00:00,UZ 100626 Tashkent East Williamport,"above, even",3.0,2.0,5.0,"minute, view",4.0,1127.0,1111.0,laptop,HP,2020.0,phone,Apple,2022.0,Tashkent,East Williamport,100626
47,48,Suzanne Meyer,20,Male,95,Null,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,Data Science,110,Active,0.0,Null,144,1976-01-20 00:00:00,"6637 Michelle Unions Apt. 959, Erikfort","do, property",3.0,1.0,4.0,"parent, raise",1.0,709.0,1006.0,laptop,Dell,2015.0,phone,Apple,2024.0,Erikfort,,
48,49,Null,18,Female,90,+998 71 809 47 41,Lake Michael,ablair@gomez.com,2023-02-01 03:42:09,Data Science,81,Active,0.0,average,225,1992-09-19 00:00:00,"00607 Alvarez Circles Suite 553, North Benjamin","wonder, strong",,,,,,,,,,,,,,North Benjamin,,00607
49,50,Justin Wong,18,Female,90,+998 10 809 91 77,Travisfort,ali@gmail..com,1970-02-03 13:13:00,Null,110,Active,3.7,average,164,1995-02-16 00:00:00,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","decide, continue",4.0,4.0,3.0,"these, could",3.0,204.0,506.0,laptop,Lenovo,2016.0,phone,Samsung,2024.0,Tashkent,East Andrew district,100090
50,51,James Davis,20,Female,61,Null,New Emilyshire,Null,2014-02-09 00:00:00,Data Science,0,Inactive,3.7,average,132,1995-04-07 00:00:00,UZ 100391 Tashkent Lake Amy,"prove, central",,,,,,,,,,,,,,Tashkent,Lake Amy,100391
51,52,Mitchell Conway,19,Female,63,+998 70 911 99 06,Lake Louis,Null,1994-06-13 04:13:00,Null,0,Inactive,0.0,Null,205,2023-10-01 06:52:10,"BROKEN,ADDRESS,DATA,,,","painting, tough",4.0,5.0,2.0,"hour, series",3.0,543.0,1003.0,laptop,Dell,2015.0,phone,Apple,2020.0,,,
52,53,Null,20,Female,88,+998 80 869 11 18,West Lindsayview,dclark@boyd.info,2012-06-25 00:00:00,Null,110,Inactive,3.7,average,251,1990-03-31 00:00:00,UZ 100232 Tashkent Annabury,"least, question",,,,,,,,,,,,,,Tashkent,Annabury,100232
53,54,Heather Moreno,19,Female,83,+998 38 917 82 89,South Jasmine,woodsanna@wilkinson-glenn.info,2025-07-25 00:00:00,Data Science,0,Pending,0.0,excellent,221,2024-01-16 00:00:00,"Christown 6-kv, dom 20, Tashkent","leave, effect",3.0,5.0,5.0,"six, reduce",1.0,581.0,302.0,laptop,Dell,2020.0,phone,Apple,2020.0,Tashkent,,
54,55,Todd Moore,21,Male,0,+998 17 494 22 30,Richardview,schmidtregina@gmail.com,1999-04-29 21:01:29,Null,110,Inactive,0.0,excellent,51,1998-03-22 03:51:00,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291","save, most",,,,,,,,,,,,,,Tashkent,West Davidhaven district,100291
55,56,Null,21,Female,90,Null,Katelynton,dominguezerin@solis.org,2021-09-21 03:28:09,Python,0,Inactive,4.5,Null,298,1980-07-14 00:00:00,"Apartment 42, South Charles district, Tashkent, UZ, 100904","where, game",4.0,2.0,1.0,"per, detail",1.0,602.0,1380.0,laptop,Lenovo,2019.0,phone,Samsung,2022.0,Tashkent,South Charles district,100904
56,57,Ashley Lowe,20,Female,90,+998 01 690 06 71,Robertshire,zvargas@chapman.org,2025-02-08 09:46:00,Null,0,Inactive,0.0,average,236,2023-01-02 00:00:00,"87807 Kayla Glens, Autumnmouth",,,,,,,,,,,,,,,Autumnmouth,,87807
57,58,Eric Holmes,18,Male,57,+998 21 927 32 79,West Tricia,ali@gmail..com,2001-03-13 12:56:00,Null,80,Pending,15.5,excellent,160,2020-05-21 00:00:00,"682 Vasquez Expressway Suite 699, West Nicolechester","recognize, between",5.0,2.0,2.0,"image, leg",5.0,1178.0,1209.0,laptop,Lenovo,2021.0,phone,Xiaomi,2020.0,West Nicolechester,,
58,59,Nathan Melendez,20,Female,75,+998 67 108 25 45,Wheelerport,Null,1971-06-20 00:00:00,Data Science,0,Active,4.5,average,65,1970-09-19 00:00:00,"Apartment 9, Laurabury district, Tashkent, UZ, 100798","offer, president",,,,,,,,,,,,,,Tashkent,Laurabury district,100798
59,60,Brett Cabrera,20,Unknown,90,Null,Port Carlos,Null,2022-07-07 17:07:18,Data Science,0,Active,15.5,excellent,121,1972-01-29 00:00:00,"East Elizabethhaven 9-kv, dom 15, Tashkent",,,,,,,,,,,,,,,Tashkent,,
60,61,William Moore,20,Female,93,+998 42 835 71 88,Port Juanland,Null,2010-05-07 00:00:00,Data Science,0,Inactive,3.2,average,50,1983-06-05 05:46:56,"6258 Gordon Road, Smithshire","painting, kid",1.0,4.0,2.0,"fill, growth",5.0,964.0,1178.0,laptop,Lenovo,2017.0,phone,Samsung,2024.0,Smithshire,,
61,62,Margaret Lopez,20,Male,90,+998 18 984 81 00,East Caitlinfurt,ogarcia@hahn.net,1980-02-04 04:04:00,Python,106,Active,4.07,Null,183,2023-09-26 21:00:08,"BROKEN,ADDRESS,DATA,,,","others, one",3.0,5.0,2.0,"enjoy, test",5.0,946.0,741.0,laptop,HP,2024.0,phone,Samsung,2018.0,,,
62,63,William Olsen,22,Female,90,+998 07 589 11 83,East Sophia,Null,1995-11-13 00:00:00,Data Science,0,Inactive,3.72,excellent,138,1999-04-21 00:00:00,"9057 Griffin Heights, Rasmussenside",,,,,,,,,,,,,,,Rasmussenside,,
63,64,Null,19,Female,90,Null,Christopherborough,Null,2014-12-15 00:00:00,Python,0,Active,4.5,good,97,2011-04-16 00:00:00,"BROKEN,ADDRESS,DATA,,,","stock, management",3.0,5.0,1.0,"move, bar",3.0,786.0,987.0,laptop,HP,2020.0,phone,Samsung,2018.0,,,
